elementId,label,name,year,type,date
1,Investigation,"Shadow operator of Great Reach",2025,"Deforestation Case",
2,Company,"PT Flora Nuansa Hijau",,"Plantation operator",
3,Event,"PT FNH claiming to operate in 18 concessions",2022,"Company Operation",August 2022
4,Company,"PT Belantara Pusaka",,,
5,Company,"PT Wana Kaltim Lestari",,,
6,Company,"PT Panambangan",,,
7,Company,"PT Belantara Persada",,,
8,Company,"PT Tanjung Redeb Hutani",,,
9,Company,"PT Triwiraasta Barata",,,
10,Company,"PT Swadaya Perkasa",,,
11,Company,"PT Indosubur Sukses Makmur",,,
12,Company,"PT Melapi Timber",,,
13,Company,"PT Segara Indochem",,,
14,Company,"PT Sylvaduta Corporation",,,
15,Company,"PT Sumalindo Alam Lestari",,,
16,Company,"PT Oceanis Timber Product",,,
17,Company,"PT Hutan Berau Lestari",,,
18,Company,"PT Seroja Universum Narwastu",,,
19,Company,"PT Kiani Lestari",,,
20,Company,"Inspired Medal SDN BHD",,"Holding company",
21,Company,"Olympia Medal SDN BHD",,"Holding company",
22,Person,"Muhartati",,"Executives",
23,Person,"Muhamad Sobirin",,"Executives",
24,Company,"PT Wana Indonesia Abadi",,"Plantation operator",
25,Company,"PT Tunas Wana Sejahtera",,"Plantation operator",
26,Person,"Hasudungan Simamora",,"Executives",
27,Company,"PT Andalan Agri Mitra",,"Plantation operator",
28,Company,"PT Maju Hijau Lestari",,"Plantation operator",
