Year;CountryProducer;ProvinceProducer;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD;ROYAL GOLDEN EAGLE / TANOTO;MACAO;CHINA (MAINLAND);ID-14;ID-WOOD-CONCESSION-0454;0;0;9.444.949.732;-3.432.803.015;ID;CN;MO;1.264.894.024;37.931.525;6.827.674.505;-3.432.803.015;9.598.572.408;7.597.863.266;0;3.333.801.735;0;6.911.550.753;1.587.055.007;6.155.376.155
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD;ROYAL GOLDEN EAGLE / TANOTO;MACAO;TAIWAN;ID-14;ID-WOOD-CONCESSION-0454;0;0;213.127.787;-7.746.210.726;ID;TW;MO;2.854.266.794;855.935;15.406.828;-7.746.210.726;2.165.943.231;17.144.779;0;752.281.172;0;1.559.609.693;3.581.231.566;1.388.976.897
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD;ROYAL GOLDEN EAGLE / TANOTO;MACAO;TURKEY;ID-14;ID-WOOD-CONCESSION-0454;0;0;633.854.749;-2.303.769.268;ID;TR;MO;8.488.759.674;25.456.014;458.208.252;-2.303.769.268;6.441.644.346;50.989.596;0;2.237.329.072;0;4.638.372.243;1.065.079.626;413.090.013
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD;ROYAL GOLDEN EAGLE / TANOTO;MACAO;UNITED KINGDOM;ID-14;ID-WOOD-CONCESSION-0454;0;0;62.721.215;-2.279.626.496;ID;GB;MO;839.980.016;251.892;4.534.064;-2.279.626.496;6.374.137.953;5.045.524;0;2.213.882.571;0;458.976.357;1.053.917.929;4.087.609.605
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;CHINA (MAINLAND);ID-14;ID-WOOD-CONCESSION-0454;0;0;4.031.580.713;-1.465.293.392;ID;CN;SG;5.399.205.391;16.191.087;29.143.957;-1.465.293.392;4.097.154.616;324.315.109;0;1.423.034.654;0;2.950.198.307;6.774.350.885;2.627.424.867
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;DJIBOUTI;ID-14;ID-WOOD-CONCESSION-0454;0;0;578.615.838;-2.103.001.339;ID;DJ;SG;7.748.984.765;2.323.758;41.827.651;-2.103.001.339;5.880.270.595;46.545.976;0;2.042.351.245;0;4.234.149.302;9.722.605.086;3.770.902.158
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;EGYPT;ID-14;ID-WOOD-CONCESSION-0454;0;0;2.068.211.933;-7.516.995.177;ID;EG;SG;2.769.807.133;8.306.072;149.509.296;-7.516.995.177;2.101.851.524;166.374.538;0;7.300.206.697;0;1.513.459.801;3.475.260.533;1.347.876.143
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;INDIA;ID-14;ID-WOOD-CONCESSION-0454;0;0;1.239.302.407;-4.504.291.882;ID;IN;SG;1.659.708.366;49.771.181;895.881.258;-4.504.291.882;1.259.459.736;996.940.217;0;43.743.891;0;9.068.869.322;2.082.426.214;8.076.668.171
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;IRAN;ID-14;ID-WOOD-CONCESSION-0454;0;0;334.582.945;-1.216.054.478;ID;IR;SG;448.082.816;1.343.707;24.186.719;-1.216.054.478;3.400.249.564;26.915.077;0;1.180.983.735;0;2.448.384.659;5.622.068.436;2.180.513.331
2015;INDONESIA;RIAU;PLANTATION;PT NUSA WANA RAYA;ROYAL GOLDEN EAGLE / TANOTO;APRIL;ROYAL GOLDEN EAGLE / TANOTO;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;APEL ENTERPRISES (SINGAPORE) PTE LTD;ROYAL GOLDEN EAGLE / TANOTO;SINGAPORE;JAPAN;ID-14;ID-WOOD-CONCESSION-0454;0;0;9.028.249.674;-3.281.351.789;ID;JP;SG;1.209.088.389;36.258.031;652.644.555;-3.281.351.789;9.175.094.698;726.265.449;0;3.186.718.329;0;6.606.621.274;1.517.036.009;5.883.808.209
