YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,91724,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,MUNDRA,INDIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,300,170353,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,PENANG (GEORGETOWN),MALAYSIA
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,4750,2648125,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,QINZHOU,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1950,1081275,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,QINZHOU,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,254462,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,CAT LAI,VIETNAM
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,555334,UNKNOWN AFFILIATION,BRIGHTENING SKY CO LTD,CHINA (HONG KONG),DALIAN,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,3900,2162550,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,QINZHOU,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,4000,2218000,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,QINZHOU,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1700,943500,UNKNOWN AFFILIATION,GREAT CHAMP (L) BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,2500,1387500,CHINA UNION,CHINA UNION (MACAO COMMERCIAL OFFSHORE) CO LTD,MACAO,SHANGHAI,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1500,832500,CHINA UNION,CHINA UNION (MACAO COMMERCIAL OFFSHORE) CO LTD,MACAO,SHANGHAI,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1800,999000,UNKNOWN AFFILIATION,GREAT CHAMP (L) BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,88144,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,SHUAIBA,KUWAIT
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,100,53908,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,KARACHI,PAKISTAN
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,200,88144,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,SHUAIBA,KUWAIT
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,3000,1650000,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,HAIPHONG,VIETNAM
2022,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,400,220000,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,HAIPHONG,VIETNAM
