YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,2008,943566,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,SOUTH KOREA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,2111,992272,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,SOUTH KOREA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,402,188896,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,SOUTH KOREA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,3013,1416183,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,SOUTH KOREA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,603,283196,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,2511,1180077,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,SOUTH KOREA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1003,471540,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,550000,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,504,252583,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,535116,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,266544,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,THAILAND
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,513,259170,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,804,377714,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,495,249745,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,524631,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,500,268911,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,1014,531133,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,1011,521450,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,265,134272,MARUBENI,MARUBENI CORP,JAPAN,#N/A,INDIA
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,505,263121,MARUBENI,MARUBENI CORP,JAPAN,#N/A,CHINA (MAINLAND)
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,507,261550,CELLMARK,CELLMARK ASIA PTE LTD,SINGAPORE,#N/A,UNITED ARAB EMIRATES
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,263,133082,MARUBENI,MARUBENI CORP,JAPAN,#N/A,INDIA
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,308,166202,MARUBENI,MARUBENI CORP,JAPAN,#N/A,INDIA
2016,470329,MARUBENI,TANJUNG ENIM LESTARI,PANJANG,SUMATERA SELATAN,266,143837,MARUBENI,MARUBENI CORP,JAPAN,#N/A,MALAYSIA
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,514,259566,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,988,498904,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,503,236269,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,597,280606,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,EGYPT
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,241,113262,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,101,47251,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,501,235665,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,299,139038,SINAR MAS,GOLDEN PROFIT TRADING PTE LTD,SINGAPORE,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1004,471930,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,4018,1888530,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,3015,1417172,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,3615,1698848,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,504,245810,UNKNOWN AFFILIATION,SUZHOU GUANBAO TRADING LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,132,65821,UNKNOWN AFFILIATION,SUZHOU GUANBAO TRADING LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,1696,898650,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,235809,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,235713,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,514,259491,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,998,528918,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,301,141440,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,SINAR MAS,INDAH KIAT,PERAWANG,RIAU,1000,524631,UNKNOWN AFFILIATION,NINGBO CROWN OF CHINA ENERGY CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,1004,471986,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,100,47202,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,INDIA
2016,470329,SINAR MAS,LONTAR PAPYRUS,KUALA TUNGKAL,JAMBI,999,531967,SINAR MAS,KING PAPER SOURCE TRADING (SHANGHAI) CO LTD,CHINA (MAINLAND),#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,501,235663,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,494,249405,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,200,94150,ROYAL GOLDEN EAGLE,AP ENTERPRISES (MACAO) COMMERCIAL OFFSHORE LTD,MACAO,#N/A,BANGLADESH
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,502,236042,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,5914,2779704,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,4118,1935459,ROYAL GOLDEN EAGLE,ALKIRA TRADING (MACAO COMMERCIAL OFFSHORE) LTD,MACAO,#N/A,CHINA (MAINLAND)
2016,470329,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,98,46219,ROYAL GOLDEN EAGLE,APEL ENTERPRISES (SINGAPORE) PTE LTD,SINGAPORE,#N/A,IRAN
2016,470329,ROYAL GOLDEN EAGLE,TOBA PULP LESTARI,BELAWAN,SUMATERA UTARA,989,499542,ROYAL GOLDEN EAGLE,DP MARKETING INTERNATIONAL,MACAO,#N/A,CHINA (MAINLAND)
