company,linkedEntity,linkType,positionTitle,sharePercent,startTenure,endTenure
PT FLORA NUANSA HIJAU,INSPIRED MEDAL SDN BHD,SHAREHOLDING,MAJORITY SHAREHOLDER,95%,25-10-2022,25-03-2024
PT FLORA NUANSA HIJAU,OLYMPIA MEDAL SDN BHD,SHAREHOLDING,MINORITY SHAREHOLDER,5%,25-10-2022,25-03-2024
PT FLORA NUANSA HIJAU,MUHARTATI,DIRECTORSHIP,DIRECTOR,,25-10-2022,25-03-2024
PT FLORA NUANSA HIJAU,MUHAMAD SOBIRIN,DIRECTORSHIP,COMMISSIONER,,25-10-2022,25-03-2024
PT WANA INDONESIA ABADI,INSPIRED MEDAL SDN BHD,SHAREHOLDING,MAJORITY SHAREHOLDER,95%,22-02-2023,08-04-2024
PT WANA INDONESIA ABADI,OLYMPIA MEDAL SDN BHD,SHAREHOLDING,MINORITY SHAREHOLDER,5%,22-02-2023,08-04-2024
PT WANA INDONESIA ABADI,MUHARTATI,DIRECTORSHIP,DIRECTOR,,22-02-2023,08-04-2024
PT WANA INDONESIA ABADI,MUHAMAD SOBIRIN,DIRECTORSHIP,COMMISSIONER,,22-02-2023,08-04-2024
PT TUNAS WANA SEJAHTERA,INSPIRED MEDAL SDN BHD,SHAREHOLDING,MAJORITY SHAREHOLDER,95%,22-02-2023,23-01-2024
PT TUNAS WANA SEJAHTERA,OLYMPIA MEDAL SDN BHD,SHAREHOLDING,MINORITY SHAREHOLDER,5%,22-02-2023,23-01-2024
PT TUNAS WANA SEJAHTERA,MUHARTATI,DIRECTORSHIP,COMMISSIONER,,22-02-2023,23-01-2024
PT TUNAS WANA SEJAHTERA,MUHAMAD SOBIRIN,DIRECTORSHIP,DIRECTOR,,22-02-2023,23-01-2024
PT ANDALAN AGRI MITRA,MUHAMAD SOBIRIN,DIRECTORSHIP,DIRECTOR,,28-12-2023,19-01-2024
PT ANDALAN AGRI MITRA,HASUDUNGAN SIMAMORA,DIRECTORSHIP,COMMISSIONER,,28-12-2023,19-01-2024
