Year;Country of wood production;Province of wood production;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;ALL YEAR HOME PRODUCTS INC;UNKNOWN AFFILIATION;PHILIPPINES;PHILIPPINES;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;PH;PH;7,632563869;0;0;0;0;0;0;0;0;0;0;30,23518094
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;BATAAN 2020 INC;BATAAN;PHILIPPINES;PHILIPPINES;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;PH;PH;7,644259999;0;0;0;0;0;0;0;0;0;0;30,28151329
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;DRAGON CROWN (HK) TRADING LTD;DRAGON CROWN HOLDINGS;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;HK;1271,23299;0;0;0;0;0;0;0;0;0;0;5035,786159
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;FREELAND UNIVERSAL LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;HK;25,50676766;0;0;0;0;0;0;0;0;0;0;101,0409803
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;SG;153,0901874;0;0;0;0;0;0;0;0;0;0;606,4422906
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;INDIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;IN;SG;306,3288139;0;0;0;0;0;0;0;0;0;0;1213,472599
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;PHILIPPINES;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;PH;SG;28,0525829;0;0;0;0;0;0;0;0;0;0;111,1258202
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;GOLDEN PROFIT TRADING PTE LTD;SINAR MAS;SINGAPORE;VIETNAM;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;VN;SG;135,3946292;0;0;0;0;0;0;0;0;0;0;536,3441675
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;KING PAPER SOURCE TRADING (SHANGHAI) CO LTD;SINAR MAS;CHINA (MAINLAND);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;CN;CN;127,704856;0;0;0;0;0;0;0;0;0;0;505,8823609
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;PROCESSED DOMESTICALLY;PROCESSED DOMESTICALLY;PROCESSED DOMESTICALLY;INDONESIA;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;ID;;24664,33854;0;0;0;0;0;0;0;0;0;0;97703,83208
2021;INDONESIA;JAMBI;COMMUNITY;COMMUNITY FORESTRY (JAMBI);UNKNOWN AFFILIATION;LONTAR PAPYRUS;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;JAMBI;THUAN PHAT IMPORT AND EXPORT CO LTD;UNKNOWN AFFILIATION;VIETNAM;VIETNAM;ID-15;ID-WOOD-CONCESSION-0021;0;0;0;0;ID;VN;VN;12,76256275;0;0;0;0;0;0;0;0;0;0;50,55685096
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ACCENT MICROCELL PTE LTD;UNKNOWN AFFILIATION;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;9,940918898;-18,06435899;ID;IN;IN;7,164726533;0,021855758;0,01495394;-18,06435899;26,00490089;0,039756097;0;1,305593954;0;4,474815791;0,707436371;30,82812155
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;AMBER SUPER PAPER LIMITED;UNKNOWN AFFILIATION;BANGLADESH;BANGLADESH;ID-15;ID-WOOD-CONCESSION-0417;0;0;17,46240202;-31,73218714;ID;BD;BD;12,58569116;0,038392228;0,026268367;-31,73218714;45,68068994;0,069836296;0;2,29343049;0;7,860544192;1,242695816;54,15324857
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ANKIT PULPS AND BOARDS PVT LTD;ANKIT;INDIA;INDIA;ID-15;ID-WOOD-CONCESSION-0417;0;0;33,97204943;-61,73305534;ID;IN;IN;24,48470272;0,074689764;0,051103523;-61,73305534;88,86902586;0,135862299;0;4,46173063;0;15,29221441;2,417589725;105,3518774
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ASIAWIDE RESOURCES LTD;UNKNOWN AFFILIATION;CHINA (HONG KONG);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0417;0;0;61,00033161;-110,8480916;ID;CN;HK;43,96481844;0,134113203;0,091761665;-110,8480916;159,5735358;0,243954823;0;8,011499234;0;27,45875406;4,341032624;189,1702022
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;BANGLANE PAPER MILL CO LTD;BPM;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;14,75529975;-26,81291683;ID;TH;TH;10,63459914;0,032440488;0,022196123;-26,81291683;38,59905825;0,05900995;0;1,937892295;0;6,6419663;1,050047367;45,75816168
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;C.A.S PAPER MILL CO LTD;C.A.S;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;25,15000587;-45,70188524;ID;TH;TH;18,12638411;0,055293926;0,037832686;-45,70188524;65,79104175;0,10058085;0;3,303084548;0;11,32105036;1,78977709;77,99353823
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;CHINATEX RAW MATERIALS IMPORT AND EXPORT;CHINATEX CORP;CHINA (MAINLAND);CHINA (MAINLAND);ID-15;ID-WOOD-CONCESSION-0417;0;0;176,0335501;-319,8832296;ID;CN;CN;126,8728032;0,387021228;0,264803998;-319,8832296;460,4941526;0,704000001;0;23,11942598;0;79,2399292;12,52726606;545,9036267
2021;INDONESIA;JAMBI;PLANTATION;PT AGRONUSA ALAM SEJAHTERA;ADR;TANJUNG ENIM LESTARI;MARUBENI;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;SUMATERA SELATAN;ELITE KRAFT PAPER CO LTD;UNKNOWN AFFILIATION;THAILAND;THAILAND;ID-15;ID-WOOD-CONCESSION-0417;0;0;47,15587805;-85,69033891;ID;TH;TH;33,9866942;0,10367527;0,070935711;-85,69033891;123,3572015;0,188587563;0;6,193233232;0;21,22679703;3,355804791;146,2366966
