year,country_of_wood_production,province_of_wood_production,pulp_wood_source,wood_supplier,wood_supplier_corporate_group,pulp_mill,pulp_mill_corporate_group,zero_deforestation_indonesia_wood_pulp,product_type,pulp_grade,province_of_pulp_export,importer,importer_corporate_group,country_of_importer,country_of_destination,province_of_wood_production_trase_id,wood_supplier_trase_id,co2_emissions_wood_pulp_burned_peat_exposure,co2_emissions_wood_pulp_subsidence_co2_exposure,co2_gross_emissions_wood_pulp_deforestation_exposure,co2_net_emissions_wood_pulp_deforestation_exposure,country_of_wood_production_trase_id,country_of_destination_trase_id,country_of_importer_trase_id,volume,annual_woodpulp_deforestation,burned_area,co2_total_emissions_wood_pulp_exposure,concession_area,concession_deforestation,deforestation_on_peat,land_use,peat_area,remaining_forest,wood_pulp_deforestation_10_year_total_exposure,wood_pulp_production_volume_m3
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","BANGLADESH","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","BD","SG","130.22888928737856","0","0","0","0","0","0","0","0","0","0","621.3706133814019"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","CHINA (MAINLAND)","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","CN","SG","6.201073428100384","0","0","0","0","0","0","0","0","0","0","29.58763466943956"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","INDIA","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","IN","SG","312.32566845207435","0","0","0","0","0","0","0","0","0","0","1490.2222789642617"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","PAKISTAN","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","PK","SG","23.555490922411934","0","0","0","0","0","0","0","0","0","0","112.39203469408454"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","THAILAND","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","TH","SG","0.2456068667899815","0","0","0","0","0","0","0","0","0","0","1.1718819864246965"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","UNITED ARAB EMIRATES","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","AE","SG","94.2391175400011","0","0","0","0","0","0","0","0","0","0","449.6499861957108"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","GOLDEN PROFIT TRADING PTE LTD","SINAR MAS","SINGAPORE","VIETNAM","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","VN","SG","24.794070961611663","0","0","0","0","0","0","0","0","0","0","118.3017621200873"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","HANGZHOU SINAR MAS PAPER PRODUCTS","SINAR MAS","CHINA (MAINLAND)","BANGLADESH","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","BD","CN","12.410096504445626","0","0","0","0","0","0","0","0","0","0","59.21320007631461"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","KING PAPER SOURCE TRADING (SHANGHAI) CO LTD","SINAR MAS","CHINA (MAINLAND)","BANGLADESH","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","BD","CN","12.428032898298088","0","0","0","0","0","0","0","0","0","0","59.29878130265341"
"2015","INDONESIA","JAMBI","COMMUNITY","COMMUNITY FORESTRY (JAMBI)","UNKNOWN AFFILIATION","LONTAR PAPYRUS","SINAR MAS","COMPANY COMMITMENT","WOOD PULP CHEMICAL","PAPER GRADE PULP","JAMBI","KING PAPER SOURCE TRADING (SHANGHAI) CO LTD","SINAR MAS","CHINA (MAINLAND)","CHINA (MAINLAND)","ID-15","ID-WOOD-CONCESSION-0021","0","0","0","0","ID","CN","CN","866.8043423795723","0","0","0","0","0","0","0","0","0","0","4135.846883539825"
