YEAR,WOOD_SUPPLIER_TRASE_ID,WOOD_SUPPLIER_CORPORATE_GROUP,WOOD_SUPPLIER,WOOD_SUPPLIER_PROVINCE,WOOD_SUPPLIER_ISLAND,MILL_CORPORATE_GROUP,MILL,WOOD_SOURCE,PULPWOOD_VOLUME_M3
2015,ID-WOOD-CONCESSION-0536,ROYAL GOLDEN EAGLE,PT ADINDO HUTANI LESTARI,KALIMANTAN UTARA,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"207247,08"
2015,ID-WOOD-CONCESSION-0464,UNKNOWN AFFILIATION,CV ALAM LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"95352,58"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"2103027,07"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"1164655,72"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"596575,74"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"311958,06"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"155117,19"
2015,ID-WOOD-CONCESSION-0471,SINAR MAS,PT ARARA ABADI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"25075,81"
2015,ID-WOOD-CONCESSION-0554,SINAR MAS,PT BALAI KAYANG MANDIRI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"70928,5"
2015,ID-WOOD-CONCESSION-0297,UNKNOWN AFFILIATION,PT BELANTARA SUBUR,KALIMANTAN TIMUR,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"2263,99"
2015,ID-WOOD-CONCESSION-0469,UNKNOWN AFFILIATION,CV BHAKTI PRAJA MULIA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"44591,53"
2015,ID-WOOD-CONCESSION-0478,SINAR MAS,PT BINA DAYA BENTALA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"283921,92"
2015,ID-WOOD-CONCESSION-0463,SINAR MAS,PT BINA DAYA BINTARA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"60552,35"
2015,ID-WOOD-CONCESSION-0440,SINAR MAS,PT BINA DUTA LAKSANA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"272997,47"
2015,ID-WOOD-CONCESSION-0458,UNKNOWN AFFILIATION,KUD BINA JAYA LANGGAM,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"20277,58"
2015,ID-WOOD-CONCESSION-0439,ROYAL GOLDEN EAGLE,PT BUKIT BATUBUH SEI INDAH,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"216247,42"
2015,ID-WOOD-CONCESSION-0483,SINAR MAS,PT BUKIT BATU HUTANI ALAM,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"874965,36"
2015,ID-WOOD-CONCESSION-0398,ROYAL GOLDEN EAGLE,PT BUKIT RAYA MUDISA,SUMATERA BARAT,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"199606,41"
2015,ID-WOOD-CONCESSION-0429,SINAR MAS,PT BUMI ANDALAS PERMAI,SUMATERA SELATAN,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"1795874,15"
2015,ID-WOOD-CONCESSION-0429,SINAR MAS,PT BUMI ANDALAS PERMAI,SUMATERA SELATAN,SUMATRA,SINAR MAS,LONTAR PAPYRUS,PLANTATION,"146379,23"
2015,ID-WOOD-CONCESSION-0540,SINAR MAS,PT BUMI MEKAR HIJAU,SUMATERA SELATAN,SUMATRA,SINAR MAS,LONTAR PAPYRUS,PLANTATION,"235109,54"
2015,ID-WOOD-CONCESSION-0540,SINAR MAS,PT BUMI MEKAR HIJAU,SUMATERA SELATAN,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"205191,42"
