Year;Country of wood production;Province of wood production;Pulp wood source;Wood supplier;Wood supplier corporate group;Pulp mill;Pulp mill corporate group;Zero deforestation commitments;Product type;Pulp grade;Province of pulp export;Importer;Importer corporate group;Country of importer;Country of destination;Province of wood production trase id;Wood supplier trase id;Emissions from peat burning;Emissions from peat subsidence;Gross emissions from land use change;Net emissions from land use change;Country of wood production trase id;Country of destination (Trase ID);Country of importer trase id;Pulp volume;Annual wood pulp deforestation;Annual burned area;Total emissions in wood pulp concession;Concession area;Annual deforestation;Annual Deforestation on Peatlands;Pulpwood planted area;Peat area;Natural forest area;Historical deforestation for wood pulp;Pulpwood volume
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;ABU DHABI NATIONAL PAPER MILL LLC;ADNPM;UNITED ARAB EMIRATES;UNITED ARAB EMIRATES;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;AE;AE;22,70245178;0;0;0;0;0;0;0;0;0;0;106,0296491
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;AL KIFAH PAPER PRODUCTS CO;AL KIFAH;SAUDI ARABIA;SAUDI ARABIA;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;SA;SA;1,05944775;0;0;0;0;0;0;0;0;0;0;4,948050291
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;BAC GIANG IMPORT EXPORT JOINT STOCK CO;IMEXCO BACGIANG;VIETNAM;VIETNAM;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;VN;VN;46,54002615;0;0;0;0;0;0;0;0;0;0;217,3607806
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;BATAAN 2020 INC;BATAAN;PHILIPPINES;PHILIPPINES;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;PH;PH;15,13496786;0;0;0;0;0;0;0;0;0;0;70,68643273
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;BERLI JUCKER CELLOX LTD;BJC;THAILAND;THAILAND;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;TH;TH;15,13496786;0;0;0;0;0;0;0;0;0;0;70,68643273
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;C AND S MACAO CO LTD;UNKNOWN AFFILIATION;CHINA (MAINLAND);CHINA (MAINLAND);ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;CN;CN;22,70245178;0;0;0;0;0;0;0;0;0;0;106,0296491
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CENTURY PAPER AND BOARD MILLS LTD;LAKSON;PAKISTAN;PAKISTAN;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;PK;PK;3,783741964;0;0;0;0;0;0;0;0;0;0;17,67160818
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CHENG DAH PAPER CO LTD;UNKNOWN AFFILIATION;TAIWAN;TAIWAN;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;TW;TW;0,756748393;0;0;0;0;0;0;0;0;0;0;3,534321636
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CHIAO FENG PAPER CO LTD;UNKNOWN AFFILIATION;TAIWAN;TAIWAN;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;TW;TW;2,724294214;0;0;0;0;0;0;0;0;0;0;12,72355789
2018;AUSTRALIA;UNKNOWN;IMPORT;THE TRUST COMPANY (AUSTRALIA);UNKNOWN AFFILIATION;INDAH KIAT;SINAR MAS;COMPANY COMMITMENT;WOOD PULP CHEMICAL;PAPER GRADE PULP;RIAU;CREATIVE PAPER MILLS LTD;CREATIVE;BANGLADESH;BANGLADESH;ID-XX;ID-WOOD-CONCESSION-0019;0;0;0;0;AU;BD;BD;37,83741964;0;0;0;0;0;0;0;0;0;0;176,7160818
